;label;sugar
535;Renegade Jamaica (Monymusk);0
536;Revolver Rum;0
537;Rhum Clement single cask Vanille Intense;0
538;Rhum Courvilles 45% ;0
539;Rhum Damoiseau 8 yo;0
540;Rhum Dillon 1975;0
541;Rhum Hors d'ge G&P Dormoy;7
542;Rhum Isautier 15 yo;0
543;Rhum J.M 1997;3
544;Rhum J.M 1998;0
545;Rhum J.M 2000;0
546;Rhum J.M 2003;5
547;Rhum J.M Multimillesimes;0
548;Rhum J.M. 2000;0
549;Rhum J.M. Cuvee 1845;0
550;Rhum J.M. Multimillesime;0
552;Rhum J.M. Vieux;0
551;Rhum J.M. Vieux 1997;0
555;Rhum Negrita;0
554;Rhum Negrita Bardinet;0
556;Rhum Nokito (1920-1930);0
557;Rhum Reimonenq 2008;0
558;Rhum Rhum Liberation 2012 Full Proof;0
559;Rhum Trois Rivires 1953 (45%);0
560;Rhum Vieux ALDI 6yo (40%);0
561;RhumRhum Liberation 2000;0
562;Richland Rum;0
616;Roble Vejo Ultra Anejo;10
563;Rochester Rum and Raisin;92
564;Rommivlena;0
643;Rum Bar Gold Aged 4 Years;0
644;Rum Bar Premium White Overproof Rum;0
646;Rum Club DA;18
645;Rum Club DA (Dark & Aged);14
647;Rum Club LD;0
649;Rum Club PG;15
648;Rum Club PG (Pungent & Geeky);11
650;Rum Club SR;16
651;Rum Company 10 yr;26
652;Rum Company 15y;16
653;Rum Company Aficionado;28
654;Rum Company Old Guadeloupe Calvados;14
655;Rum Company Special Cask 1423 25y;27
656;Rum Nation Barbados 10y 2014;14
657;Rum Nation Barbados 2001  btl.2011;10
658;Rum Nation Caroni 1998 2014 rel 2nd batch;12
659;Rum Nation Demerara 1975 31y;19
660;Rum Nation Demerara 1985;18
661;Rum Nation Demerara 1990 23y;20
662;Rum Nation Demerara 1990 25y;6
663;Rum Nation Demerara No. 14;21
664;Rum Nation Guatemala;43
665;Rum Nation Jamaica 1985 25 yr;9
666;Rum Nation Jamaica 1990 23 yr;16
667;Rum Nation Jamaica 8y 2015 Oloroso finish;0
668;Rum Nation Jamaica Pot Still 2014 rel.;4
669;Rum Nation Martinique 12yr;0
670;Rum Nation Martinique Anniv Edt. 12Y;4
671;Rum Nation Martinique Hors d'Age 2013 rel.;0
672;Rum Nation Panama 21y;20
673;Rum Nation Peruano 8y 2014 rel.;19
674;Rum Nr. 7 Black;0
675;Sainsbury's Golden Rum 8 Year;0
676;Sainsbury's Superior Dark;0
677;Saint James 15y;3
678;Saint James Cuve 1765;3
679;Saint James Reserve;3
